;Cycle;D4;D6;D8;E5;E7;E9
;1;2324,23046522139;2333,43699727165;2254,11442164848;2259,94532275035;2266,07862463234;2398,35203983665
;2;2324,07280744159;2335,64274413839;2257,63382089686;2264,42382713212;2269,82147393338;2402,72552025691
;3;2325,18981402987;2335,10470955137;2255,02089296358;2264,10851157251;2273,51144574105;2402,17359619005
;4;2327,2379031168;2335,60375612484;2260,82572083139;2269,58486542613;2272,32962158023;2404,41930577068
;5;2333,85709311768;2339,21502088014;2265,72432105918;2272,3827427487;2279,56579689559;2400,47981067628
;6;2332,61047440115;2338,11314751756;2270,17674851919;2273,32868708799;2275,00955854123;2395,58223510027
;7;2335,80140100018;2345,27037516679;2270,41335712764;2273,64424645765;2280,28951253495;2405,33972069057
;8;2340,87181983399;2351,29990399992;2275,28710206106;2276,75719510401;2285,39865202133;2403,41035276853
;9;2352,00650077657;2352,47971779106;2274,18106487381;2278,50191147577;2291,92426616649;2401,79346305792
;10;2363,22213390021;2362,95969583398;2286,13235307818;2284,64812813725;2294,40658425437;2409,23919894612
;11;2385,24699563701;2375,76510668538;2291,47810250984;2290,42810612074;2307,31698979026;2406,28591144919
;12;2413,33531928172;2394,79165326965;2305,77791393701;2298,63336351028;2317,12512675152;2411,70732673735
;13;2461,83670965444;2430,50155581208;2325,05798580904;2316,07514748653;2340,64612465261;2422,34623807723
;14;2550,02211913913;2495,13993431781;2359,6359328155;2344,8351145031;2381,29157200288;2442,49054334234
;15;2668,34800921979;2583,11683660865;2421,81910740099;2388,38300128387;2443,58050152988;2468,88712294931
;16;2820,41338076824;2719,7107962985;2511,37185579038;2467,63950704942;2542,81177646768;2522,0884377555
;17;2992,44091232177;2895,53401156114;2650,80357006585;2584,85169001544;2686,14401127548;2590,07754588199
;18;3151,8604629873;3080,96880161978;2822,18732371524;2757,83614529625;2854,44161997709;2712,0157260437
;19;3284,91978694678;3255,29232077405;3012,0990857626;2949,24629233084;3025,48147201381;2882,33411739979
;20;2067,15568761011;2050,60819995807;2056,09771226627;2052,93286026614;2076,7823155064;3053,32459428543
;21;2064,68926799372;2049,82263836494;2056,69038282417;2049,28362861672;2075,96972833473;3256,5711622894
